id,message
1,"Minor accident near local shop, no injuries reported"
2,"Bike skidded on wet road, rider conscious"
3,"Power outage in residential area, no immediate danger"
4,"Fire in apartment kitchen, smoke spreading quickly"
5,"Man bleeding heavily after road accident, urgent help needed"
6,"Two children trapped inside locked house 7J4V+3C"
7,"Elderly woman collapsed, difficulty breathing 7J4V+3C"
8,"Gas leak reported in residential building, evacuation needed"
9,"Flood water rising fast, families stranded 7J4V+3C"
10,"School bus stuck in flooded road, children inside 7J4V+3C"
11,"Building collapse reported, people trapped under debris 7J4V+3C"
12,"Pregnant woman in labor, ambulance required urgently 7J4V+3C"
13,"Forest fire spreading rapidly near village outskirts"
14,"Train accident, multiple injuries reported, rescue needed"
15,"Earthquake tremors felt, buildings damaged, people injured 7J4V+3C"
16,"Heart attack suspected, man unconscious at home 7J4V+3C"
17,"Child fallen into open drain, rescue required immediately 7J4V+3C"
18,"Flooded hospital basement, patients need evacuation 7J4V+3C"
19,"Fire in chemical warehouse, toxic smoke spreading"
20,"Boat capsized in river, people drowning 7J4V+3C"
